keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 100, 10, "benchmarkRedis", 36.0014ms, 36001400
"838470kb", 100, 10, "benchmarkRedis", 56.0008ms, 56000800
"1257705kb", 100, 10, "benchmarkRedis", 89.9973ms, 89997300
"1676940kb", 100, 10, "benchmarkRedis", 110.0003ms, 110000300
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 100, 20, "benchmarkRedis", 33.0045ms, 33004500
"838470kb", 100, 20, "benchmarkRedis", 51.9935ms, 51993500
"1257705kb", 100, 20, "benchmarkRedis", 73.9987ms, 73998700
"1676940kb", 100, 20, "benchmarkRedis", 122.0008ms, 122000800
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 100, 30, "benchmarkRedis", 39.0017ms, 39001700
"838470kb", 100, 30, "benchmarkRedis", 49.9992ms, 49999200
"1257705kb", 100, 30, "benchmarkRedis", 67.9996ms, 67999600
"1676940kb", 100, 30, "benchmarkRedis", 100.9999ms, 100999900
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 100, 40, "benchmarkRedis", 39.0017ms, 39001700
"838470kb", 100, 40, "benchmarkRedis", 54.0002ms, 54000200
"1257705kb", 100, 40, "benchmarkRedis", 81.0148ms, 81014800
"1676940kb", 100, 40, "benchmarkRedis", 109.9844ms, 109984400
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 100, 50, "benchmarkRedis", 37.9961ms, 37996100
"838470kb", 100, 50, "benchmarkRedis", 55.0018ms, 55001800
"1257705kb", 100, 50, "benchmarkRedis", 81.9973ms, 81997300
"1676940kb", 100, 50, "benchmarkRedis", 110.0083ms, 110008300
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 100, 60, "benchmarkRedis", 55.9892ms, 55989200
"838470kb", 100, 60, "benchmarkRedis", 58.0002ms, 58000200
"1257705kb", 100, 60, "benchmarkRedis", 72.9981ms, 72998100
"1676940kb", 100, 60, "benchmarkRedis", 108.0043ms, 108004300
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 100, 70, "benchmarkRedis", 41.9849ms, 41984900
"838470kb", 100, 70, "benchmarkRedis", 60.9579ms, 60957900
"1257705kb", 100, 70, "benchmarkRedis", 82.9945ms, 82994500
"1676940kb", 100, 70, "benchmarkRedis", 129.0043ms, 129004300
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 100, 80, "benchmarkRedis", 42.0025ms, 42002500
"838470kb", 100, 80, "benchmarkRedis", 51.0507ms, 51050700
"1257705kb", 100, 80, "benchmarkRedis", 73.9507ms, 73950700
"1676940kb", 100, 80, "benchmarkRedis", 102.032ms, 102032000
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 100, 90, "benchmarkRedis", 44.9973ms, 44997300
"838470kb", 100, 90, "benchmarkRedis", 58.0011ms, 58001100
"1257705kb", 100, 90, "benchmarkRedis", 69.9998ms, 69999800
"1676940kb", 100, 90, "benchmarkRedis", 104.0018ms, 104001800
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 100, 100, "benchmarkRedis", 42.9628ms, 42962800
"838470kb", 100, 100, "benchmarkRedis", 58ms, 58000000
"1257705kb", 100, 100, "benchmarkRedis", 75.0278ms, 75027800
"1676940kb", 100, 100, "benchmarkRedis", 121.9728ms, 121972800
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 1000, 10, "benchmarkRedis", 293.0003ms, 293000300
"838470kb", 1000, 10, "benchmarkRedis", 535.5109ms, 535510900
"1257705kb", 1000, 10, "benchmarkRedis", 806.5287ms, 806528700
"1676940kb", 1000, 10, "benchmarkRedis", 1.1259959s, 1125995900
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 1000, 20, "benchmarkRedis", 300.0019ms, 300001900
"838470kb", 1000, 20, "benchmarkRedis", 554.0514ms, 554051400
"1257705kb", 1000, 20, "benchmarkRedis", 799.0071ms, 799007100
"1676940kb", 1000, 20, "benchmarkRedis", 1.0349946s, 1034994600
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 1000, 30, "benchmarkRedis", 297.0028ms, 297002800
"838470kb", 1000, 30, "benchmarkRedis", 494.0009ms, 494000900
"1257705kb", 1000, 30, "benchmarkRedis", 776.9964ms, 776996400
"1676940kb", 1000, 30, "benchmarkRedis", 1.0050219s, 1005021900
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 1000, 40, "benchmarkRedis", 320.5338ms, 320533800
"838470kb", 1000, 40, "benchmarkRedis", 522.9966ms, 522996600
"1257705kb", 1000, 40, "benchmarkRedis", 746.0003ms, 746000300
"1676940kb", 1000, 40, "benchmarkRedis", 1.0249999s, 1024999900
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 1000, 50, "benchmarkRedis", 282.0005ms, 282000500
"838470kb", 1000, 50, "benchmarkRedis", 480.0214ms, 480021400
"1257705kb", 1000, 50, "benchmarkRedis", 791.9778ms, 791977800
"1676940kb", 1000, 50, "benchmarkRedis", 1.0410042s, 1041004200
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 1000, 60, "benchmarkRedis", 298.0041ms, 298004100
"838470kb", 1000, 60, "benchmarkRedis", 513.9982ms, 513998200
"1257705kb", 1000, 60, "benchmarkRedis", 748.9984ms, 748998400
"1676940kb", 1000, 60, "benchmarkRedis", 1.0399989s, 1039998900
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 1000, 70, "benchmarkRedis", 333.67ms, 333670000
"838470kb", 1000, 70, "benchmarkRedis", 601.9967ms, 601996700
"1257705kb", 1000, 70, "benchmarkRedis", 784.0352ms, 784035200
"1676940kb", 1000, 70, "benchmarkRedis", 1.0881068s, 1088106800
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 1000, 80, "benchmarkRedis", 290.9894ms, 290989400
"838470kb", 1000, 80, "benchmarkRedis", 515.0472ms, 515047200
"1257705kb", 1000, 80, "benchmarkRedis", 745.9489ms, 745948900
"1676940kb", 1000, 80, "benchmarkRedis", 1.0000015s, 1000001500
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 1000, 90, "benchmarkRedis", 324.9978ms, 324997800
"838470kb", 1000, 90, "benchmarkRedis", 492.0006ms, 492000600
"1257705kb", 1000, 90, "benchmarkRedis", 743.0052ms, 743005200
"1676940kb", 1000, 90, "benchmarkRedis", 1.0780024s, 1078002400
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 1000, 100, "benchmarkRedis", 297.9961ms, 297996100
"838470kb", 1000, 100, "benchmarkRedis", 489.9989ms, 489998900
"1257705kb", 1000, 100, "benchmarkRedis", 730.0014ms, 730001400
"1676940kb", 1000, 100, "benchmarkRedis", 1.0010098s, 1001009800
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 2000, 10, "benchmarkRedis", 571.0028ms, 571002800
"838470kb", 2000, 10, "benchmarkRedis", 1.0620031s, 1062003100
"1257705kb", 2000, 10, "benchmarkRedis", 1.6330785s, 1633078500
"1676940kb", 2000, 10, "benchmarkRedis", 2.2525592s, 2252559200
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 2000, 20, "benchmarkRedis", 564.0013ms, 564001300
"838470kb", 2000, 20, "benchmarkRedis", 1.0510413s, 1051041300
"1257705kb", 2000, 20, "benchmarkRedis", 1.6281895s, 1628189500
"1676940kb", 2000, 20, "benchmarkRedis", 2.1730003s, 2173000300
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 2000, 30, "benchmarkRedis", 600.5116ms, 600511600
"838470kb", 2000, 30, "benchmarkRedis", 1.0400407s, 1040040700
"1257705kb", 2000, 30, "benchmarkRedis", 1.5659972s, 1565997200
"1676940kb", 2000, 30, "benchmarkRedis", 2.1243571s, 2124357100
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 2000, 40, "benchmarkRedis", 595.5307ms, 595530700
"838470kb", 2000, 40, "benchmarkRedis", 1.0159872s, 1015987200
"1257705kb", 2000, 40, "benchmarkRedis", 1.5350021s, 1535002100
"1676940kb", 2000, 40, "benchmarkRedis", 2.0967584s, 2096758400
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 2000, 50, "benchmarkRedis", 596.5194ms, 596519400
"838470kb", 2000, 50, "benchmarkRedis", 1.0275717s, 1027571700
"1257705kb", 2000, 50, "benchmarkRedis", 1.5439634s, 1543963400
"1676940kb", 2000, 50, "benchmarkRedis", 2.1265279s, 2126527900
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 2000, 60, "benchmarkRedis", 580.0009ms, 580000900
"838470kb", 2000, 60, "benchmarkRedis", 992.039ms, 992039000
"1257705kb", 2000, 60, "benchmarkRedis", 1.5129603s, 1512960300
"1676940kb", 2000, 60, "benchmarkRedis", 2.0991427s, 2099142700
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 2000, 70, "benchmarkRedis", 589.9698ms, 589969800
"838470kb", 2000, 70, "benchmarkRedis", 1.0060039s, 1006003900
"1257705kb", 2000, 70, "benchmarkRedis", 1.5199953s, 1519995300
"1676940kb", 2000, 70, "benchmarkRedis", 2.0880372s, 2088037200
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 2000, 80, "benchmarkRedis", 607.0029ms, 607002900
"838470kb", 2000, 80, "benchmarkRedis", 1.0029969s, 1002996900
"1257705kb", 2000, 80, "benchmarkRedis", 1.4720216s, 1472021600
"1676940kb", 2000, 80, "benchmarkRedis", 2.077067s, 2077067000
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 2000, 90, "benchmarkRedis", 586.0284ms, 586028400
"838470kb", 2000, 90, "benchmarkRedis", 999.9701ms, 999970100
"1257705kb", 2000, 90, "benchmarkRedis", 1.5310007s, 1531000700
"1676940kb", 2000, 90, "benchmarkRedis", 2.0999993s, 2099999300
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 2000, 100, "benchmarkRedis", 584.0294ms, 584029400
"838470kb", 2000, 100, "benchmarkRedis", 992.9709ms, 992970900
"1257705kb", 2000, 100, "benchmarkRedis", 1.4829997s, 1482999700
"1676940kb", 2000, 100, "benchmarkRedis", 2.1069375s, 2106937500
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 5000, 10, "benchmarkRedis", 1.5030001s, 1503000100
"838470kb", 5000, 10, "benchmarkRedis", 2.8077259s, 2807725900
"1257705kb", 5000, 10, "benchmarkRedis", 4.2580578s, 4258057800
"1676940kb", 5000, 10, "benchmarkRedis", 5.8026139s, 5802613900
